"","Incident_Number","Offence_Code_Group","Latitude","Longtitude","City","Year"
"82","I192076939","Simple Assault",42.35106637,-71.06549569,"Downtown","2019"
"83","I192076896","Simple Assault",42.35988372,-71.06016189,"Downtown","2019"
"84","I192076894","Simple Assault",42.35548407,-71.13741814,"Brighton","2019"
"85","I192076891","Simple Assault",42.37784791,-71.05930433,"Charlestown","2019"
"86","I192076874","Simple Assault",42.35315862,-71.13289373,"Brighton","2019"
"87","I192076861","Simple Assault",42.34988575,-71.14522971,"Brighton","2019"
"88","I192076849","Simple Assault",42.33755715,-71.07836018,"South End","2019"
"89","I192076767","Simple Assault",42.30591851,-71.07956586,"Roxbury","2019"
"90","I192076754","Simple Assault",42.37111589,-71.04177412,"East Boston","2019"
"91","I192076738","Simple Assault",42.25466263,-71.12430955,"Hyde Park","2019"
"92","I192076687","Simple Assault",42.29011783,-71.12187904,"West Roxbury","2019"
"93","I192076669","Simple Assault",42.37167554,-71.03563919,"East Boston","2019"
"94","I192076663","Simple Assault",42.35788876,-71.06010047,"Downtown","2019"
"95","I192076649","Simple Assault",42.33455374,-71.07560801,"South End","2019"
"96","I192076627","Simple Assault",42.31615184,-71.09795135,"Jamaica Plain","2019"
"97","I192076578","Simple Assault",42.29011783,-71.12187904,"West Roxbury","2019"
"98","I192076544","Simple Assault",42.34748342,-71.13363158,"Brighton","2019"
"99","I192076543","Simple Assault",42.33662706,-71.02769199,"South Boston","2019"
"100","I192076516","Simple Assault",42.35540738,-71.06312433,"Downtown","2019"
"101","I192076502","Simple Assault",42.33132994,-71.05293837,"South Boston","2019"
"102","I192076482","Simple Assault",42.32424831,-71.10525188,"Jamaica Plain","2019"
"103","I192076468","Simple Assault",42.26956689,-71.09075049,"Mattapan","2019"
"104","I192076462","Simple Assault",42.29212974,-71.07175746,"Dorchester","2019"
"105","I192076453","Simple Assault",42.35540113,-71.13090649,"Brighton","2019"
"106","I192076453","Simple Assault",42.35540113,-71.13090649,"Brighton","2019"
"107","I192076384","Simple Assault",42.28156897,-71.05770256,"Dorchester","2019"
"108","I192076337","Simple Assault",42.33428841,-71.07239518,"South End","2019"
"109","I192076336","Simple Assault",42.29633742,-71.08071527,"Mattapan","2019"
"110","I192076333","Simple Assault",42.31587563,-71.08310526,"Roxbury","2019"
"111","I192076323","Simple Assault",42.3144665,-71.09661461,"Jamaica Plain","2019"
"112","I192076317","Simple Assault",42.34136252,-71.06707636,"South End","2019"
"113","I192076293","Simple Assault",42.35182446,-71.13313369,"Brighton","2019"
"114","I192076250","Simple Assault",42.35674413,-71.14367007,"Brighton","2019"
"115","I192076230","Simple Assault",42.3468275,-71.14319087,"Brighton","2019"
"116","I192076205","Simple Assault",42.33543394,-71.08076738,"South End","2019"
"117","I192076174","Simple Assault",42.2850804,-71.09700321,"Mattapan","2019"
"118","I192076167","Simple Assault",42.29019621,-71.07159012,"Dorchester","2019"
"119","I192076144","Simple Assault",42.32287413,-71.10155354,"Jamaica Plain","2019"
"120","I192076142","Simple Assault",42.32696647,-71.06198607,"South Boston","2019"
"121","I192076113","Simple Assault",42.29276044,-71.07486603,"Mattapan","2019"
"122","I192076093","Simple Assault",42.35678442,-71.06670845,"Downtown","2019"
"123","I192076087","Simple Assault",42.35540738,-71.06312433,"Downtown","2019"
"124","I192076073","Simple Assault",42.31319382,-71.06500833,"Dorchester","2019"
"125","I192076053","Simple Assault",42.35501985,-71.05642713,"Downtown","2019"
"126","I192075996","Simple Assault",42.33296171,-71.1104193,"Roxbury","2019"
"127","I192075990","Simple Assault",42.30956305,-71.08990197,"Roxbury","2019"
"128","I192075961","Simple Assault",42.35416598,-71.12375158,"Brighton","2019"
"129","I192075952","Simple Assault",42.33557815,-71.03867318,"South Boston","2019"
"130","I192075908","Simple Assault",42.29330376,-71.0885899,"Mattapan","2019"
"131","I192075907","Simple Assault",42.26810916,-71.12090547,"Hyde Park","2019"
"132","I192075899","Simple Assault",42.35648631,-71.05928145,"Downtown","2019"
"133","I192075881","Simple Assault",42.35450139,-71.05916774,"Downtown","2019"
"134","I192075879","Simple Assault",42.28152567,-71.09700335,"Mattapan","2019"
"135","I192075874","Simple Assault",42.25943465,-71.14798064,"West Roxbury","2019"
"136","I192075871","Simple Assault",42.31127726,-71.08909334,"Roxbury","2019"
"137","I192075837","Simple Assault",42.31483685,-71.10605022,"Jamaica Plain","2019"
"138","I192075823","Simple Assault",42.33428841,-71.07239518,"South End","2019"
"139","I192075782","Simple Assault",42.34285014,-71.06516235,"South End","2019"
"140","I192075776","Simple Assault",42.32696647,-71.06198607,"South Boston","2019"
"141","I192075738","Simple Assault",42.28261082,-71.09079757,"Mattapan","2019"
"142","I192075723","Simple Assault",42.28349153,-71.08991288,"Mattapan","2019"
"143","I192075715","Simple Assault",42.30010597,-71.0710271,"Dorchester","2019"
"144","I192075707","Simple Assault",42.35237315,-71.16319479,"Brighton","2019"
"145","I192075705","Simple Assault",42.3626075,-71.06132725,"Downtown","2019"
"146","I192075702","Simple Assault",42.3143167,-71.10309424,"Jamaica Plain","2019"
"147","I192075685","Simple Assault",42.35512339,-71.0608798,"Downtown","2019"
"148","I192075680","Simple Assault",42.32522448,-71.07821131,"Roxbury","2019"
"149","I192075639","Simple Assault",42.34532801,-71.08406158,"South End","2019"
"150","I192075636","Simple Assault",42.36068787,-71.05687293,"Downtown","2019"
"151","I192075614","Simple Assault",42.35204779,-71.13180684,"Brighton","2019"
"152","I192075611","Simple Assault",42.28515394,-71.09102185,"Mattapan","2019"
"153","I192075606","Simple Assault",42.34454105,-71.04416497,"South Boston","2019"
"154","I192075601","Simple Assault",42.32809966,-71.06321676,"South Boston","2019"
"155","I192075595","Simple Assault",42.34813158,-71.08027002,"South End","2019"
"156","I192075584","Simple Assault",42.3169665,-71.08254058,"Roxbury","2019"
"157","I192075575","Simple Assault",42.37771479,-71.0589271,"Charlestown","2019"
"158","I192075574","Simple Assault",42.27061469,-71.08655479,"Mattapan","2019"
"159","I192075551","Simple Assault",42.35637531,-71.06213513,"Downtown","2019"
"160","I192075545","Simple Assault",42.29693391,-71.08066576,"Mattapan","2019"
"161","I192075541","Simple Assault",42.32469443,-71.10087902,"Jamaica Plain","2019"
"162","I192075511","Simple Assault",42.36068158,-71.13876011,"Brighton","2019"
"163","I192075433","Simple Assault",42.33395125,-71.07538939,"South End","2019"
"164","I192075357","Simple Assault",42.31615184,-71.09795135,"Jamaica Plain","2019"
