"","Incident_Number","Offence_Code_Group","Latitude","Longtitude","City","Year"
"297","I192075274","Motor Vehicle Accident Response",42.27791927,-71.0964061,"Mattapan","2019"
"298","I192075271","Motor Vehicle Accident Response",42.27624754,-71.1172547,"Hyde Park","2019"
"299","I192075261","Motor Vehicle Accident Response",42.34239114,-71.08872018,"South End","2019"
"300","I192075247","Motor Vehicle Accident Response",42.32610077,-71.10433335,"Jamaica Plain","2019"
"301","I192075246","Motor Vehicle Accident Response",42.29019621,-71.07159012,"Dorchester","2019"
"302","I192075242","Motor Vehicle Accident Response",42.29165545,-71.06009035,"Dorchester","2019"
"303","I192075218","Motor Vehicle Accident Response",42.35590084,-71.07058043,"Downtown","2019"
"304","I192075198","Motor Vehicle Accident Response",42.29860932,-71.11223703,"Jamaica Plain","2019"
"305","I192075181","Motor Vehicle Accident Response",42.31949779,-71.09707352,"Roxbury","2019"
"306","I192075180","Motor Vehicle Accident Response",42.3572734,-71.0611658,"Downtown","2019"
"307","I192075175","Motor Vehicle Accident Response",42.32766929,-71.09566719,"Roxbury","2019"
"308","I192075163","Motor Vehicle Accident Response",42.36126453,-71.06440754,"Downtown","2019"
"309","I192075151","Motor Vehicle Accident Response",42.27582044,-71.1477067,"West Roxbury","2019"
"310","I192075148","Motor Vehicle Accident Response",42.3557137,-71.15532953,"Brighton","2019"
"311","I192075141","Motor Vehicle Accident Response",42.32227567,-71.10150838,"Jamaica Plain","2019"
"312","I192075133","Motor Vehicle Accident Response",42.28814871,-71.12630703,"West Roxbury","2019"
"313","I192075131","Motor Vehicle Accident Response",42.34692258,-71.08909339,"South End","2019"
"314","I192075093","Motor Vehicle Accident Response",42.33182961,-71.07347274,"South End","2019"
"315","I192075093","Motor Vehicle Accident Response",42.33182961,-71.07347274,"South End","2019"
"316","I192075090","Motor Vehicle Accident Response",42.3596375,-71.12222791,"Brighton","2019"
"317","I192075086","Motor Vehicle Accident Response",42.33189752,-71.06908191,"South Boston","2019"
"318","I192075065","Motor Vehicle Accident Response",42.30576686,-71.08097517,"Roxbury","2019"
"319","I192075054","Motor Vehicle Accident Response",42.30734156,-71.1054409,"Jamaica Plain","2019"
"320","I192075031","Motor Vehicle Accident Response",42.35443545,-71.12573305,"Brighton","2019"
"321","I192075026","Motor Vehicle Accident Response",42.37784791,-71.05930433,"Charlestown","2019"
"322","I192075024","Motor Vehicle Accident Response",42.35327223,-71.1737388,"Brighton","2019"
"323","I192075017","Motor Vehicle Accident Response",42.31168573,-71.07111997,"Roxbury","2019"
"324","I192075004","Motor Vehicle Accident Response",42.29277202,-71.12138967,"West Roxbury","2019"
"325","I192075001","Motor Vehicle Accident Response",42.34955955,-71.09287556,"South End","2019"
"326","I192074998","Motor Vehicle Accident Response",42.33497341,-71.07142863,"South End","2019"
"327","I192074967","Motor Vehicle Accident Response",42.33587516,-71.07778792,"South End","2019"
"328","I192074966","Motor Vehicle Accident Response",42.34659261,-71.07422967,"South End","2019"
"329","I192074965","Motor Vehicle Accident Response",42.30715639,-71.06245539,"Dorchester","2019"
"330","I192074930","Motor Vehicle Accident Response",42.29601566,-71.05766432,"Dorchester","2019"
"331","I192074915","Motor Vehicle Accident Response",42.35085371,-71.13125747,"Brighton","2019"
"332","I192074888","Motor Vehicle Accident Response",42.28960433,-71.06833775,"Dorchester","2019"
"333","I192074878","Motor Vehicle Accident Response",42.31731834,-71.09678992,"Jamaica Plain","2019"
"334","I192074875","Motor Vehicle Accident Response",42.31731905,-71.06150882,"Dorchester","2019"
"335","I192074842","Motor Vehicle Accident Response",42.23503135,-71.1312355,"Hyde Park","2019"
"336","I192074839","Motor Vehicle Accident Response",42.32766929,-71.09566719,"Roxbury","2019"
"337","I192074826","Motor Vehicle Accident Response",42.33182961,-71.07347274,"South End","2019"
"338","I192074825","Motor Vehicle Accident Response",42.35527836,-71.15120013,"Brighton","2019"
